row_type,surlab_file_location,surlab_filename,fieldname_surlab,units,requirement_level,requirement_condition,nwb_location,nwb_fieldname,nwb_type,mapping_rationale,stage,notes
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,institution,plain text (institution name),required,always,NWBFile,institution,str,DANDI/NWB core provenance: institution on NWBFile.,1,Mirror file session_dir/sessionInfo_single_session.csv same columns.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,lab,plain text (laboratory name),required,always,NWBFile,lab,str,NWB core lab string.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,experimenter,plain text (full name),required,always,NWBFile,experimenter,str_or_array_of_str,NWB experimenter; use string or length-1 array per PyNWB.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,animal_ID,plain text (subject identifier),required,always,NWBFile/general/subject,subject_id,str,Subject.subject_id standard for subject key.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,session_ID,plain text (session identifier),required,always,NWBFile,session_id,str,NWBFile.session_id where schema provides it; ties to session record.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,session_date,calendar date YYYY-MM-DD,required,always,NWBFile,session_start_time,datetime,Build datetime for session_start_time; default time T00:00:00 if no clock; document timezone.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,species,Latin binomial e.g. Mus musculus,required,always,NWBFile/general/subject,species,str,Subject.species.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,sex,single letter M F O U,required,always,NWBFile/general/subject,sex,str,Subject.sex M F O U.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,age__days,numeric age in days,required,always,NWBFile/general/subject,age,str,Subject.age expects ISO-8601 duration; convert days to P{n}D.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,strain,plain text genetic background,required,always,NWBFile/general/subject,strain,str,Subject.strain.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,zero_time,full datatype ID for session clock reference,required,always,NWBFile,notes_or_session_description,str,Value names one stream (e.g. lfp spikeTimes GCaMP7f_traces); all other streams align to this clock.,1,Use full stream ID including prefix when applicable; one stream sets session zero.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,area,plain text comma-separated regions,optional,always,NWBFile/general/subject,description,str,Brain region at session level often in Subject.description or session text until ElectrodeGroup exists.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,condition,plain text experimental condition,optional,always,NWBFile,session_description,str,Append to session_description; trial types detailed in trial table stage.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,related_publication,plain text DOI or citation,optional,always,NWBFile,related_publications,str,NWB related_publications.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(derived_file_identifier),N/A,required,always,NWBFile,identifier,str,Unique NWB identifier; typically concatenate animal_ID and session_ID or use session_ID if globally unique.,1,Not a SurLab column; conversion generates.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(per_stream_traces),boolean 0/1 per stream column,optional,always,NWBFile,keywords,array_of_str,One sessionInfo column per traces stream; header is full datatype ID (e.g. GCaMP7f_traces).,1,No aggregate traces column. Prefix before _traces is informative only. See stage 3; substitute <datatypeID> per stream.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,trialInfo,boolean 0/1 trial table present,optional,always,NWBFile,keywords,array_of_str,Keyword trials when 1.,1,At most one trialInfo table per session. See stage 5 rows.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,lfp,boolean 0/1 modality present,optional,always,NWBFile,keywords,array_of_str,Keyword LFP when 1.,1,LFP rows deferred (future stage 6).
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeTimes,boolean 0/1 modality present,optional,always,NWBFile,keywords,array_of_str,Keyword spike or units when 1.,1,When 1 expect spikeTimes files; see stage 2 conditional rows.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeWaves,boolean 0/1 modality present,optional,always,NWBFile,keywords,array_of_str,Keyword waveform when 1.,1,Defer spike waves per project plan.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,behEvents,boolean 0/1 modality present,optional,always,NWBFile,keywords,array_of_str,Keyword behavioral events when 1.,1,Optional prefix on datatype ID (e.g. lick_behEvents) same convention as traces.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(per_stream_behTSeries),boolean 0/1 per stream column,optional,always,NWBFile,keywords,array_of_str,One sessionInfo column per behTSeries stream; header is full datatype ID (e.g. pupil_behTSeries).,1,No aggregate behTSeries column. See stage 4; substitute <datatypeID> per stream.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,dataset_specific,N/A,optional,always,NWBFile,experiment_description_or_extension,str,Rule: preserve name and value into experiment_description block or LabMetaData; document in README.,1,Single generic row; same rule for all extras.
metadata_field,session_dir,sessionInfo_single_session.csv,(all columns above),same as dataset row,na,always,NWBFile,same_as_dataset_dir_mapping,same,Session-local copy of sessionInfo; identical mapping after row selection for that session.,1,One session one row; join key animal_ID session_ID.
metadata_field,dataset_dir,experimentDesc.pdf,N/A,file not tabular,optional,always,NWBFile,session_description_or_notes,str,PDF stays external; copy abstract into session_description or cite in notes.,1,Optional; DANDI stores PDFs as separate assets.
data_array,session_dir,spikeTimes_data.{mat|npz},NA,spike times per unit in seconds relative to session zero_time,required,if_datatype_present:spikeTimes,NWBFile/units,DynamicTableRegion_or_column_spike_times,array_of_float64,Kilosort-style: one unit per row; spike_times in seconds aligned to NWB session clock.,2,Optional middle tokens allowed in filename; same variable layout as SurLab spec.
metadata_field,session_dir,spikeTimes_schema.json,data_unit_measurement,base__unit token string,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_data_unit_measurement,str,Optional DynamicTable column on Units for display; or fold into unit description.,2,Prefer sessionInfo duplicate when schema deprecated.
metadata_field,session_dir,spikeTimes_schema.json,X_dim,dimension label,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_or_omit,str,Document layout; often neurons or time not stored on NWB Units.,2,
metadata_field,session_dir,spikeTimes_schema.json,Y_dim,dimension label,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_column_or_omit,str,Same as X_dim.,2,
metadata_field,session_dir,spikeTimes_schema.json,X_size,integer count,recommended,if_datatype_present:spikeTimes,NWBFile/units,custom_column_num_units,int,Should match number of units and metadata rows.,2,
metadata_field,session_dir,spikeTimes_schema.json,Y_size,integer count,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_column_or_omit,int,If used in schema.,2,
metadata_field,session_dir,spikeTimes_schema.json,X_idx,per-dimension indices,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_column_or_omit,array,Omitted for spikeTimes per SurLab (times in arrays).,2,
metadata_field,session_dir,spikeTimes_schema.json,Y_idx,per-dimension indices,optional,if_datatype_present:spikeTimes,NWBFile/units,custom_column_or_omit,array,If present.,2,
